,propertyid,type,address,bedroom,bathroom,area ( Sq. Yd.),purpose,price
590,45154806,Flat,"Gulistan-e-Jauhar - Block 3-A, Gulistan-e-Jauhar, Karachi, Sindh",4,4,244,For Sale,19900000
300,44700348,House,"DHA Defence, Karachi, Sindh",6,6,1000,For Rent,1000000
463,45138814,Flat,"University Road, Karachi, Sindh",3,3,143,For Sale,14900000
453,45138667,Flat,"Bath Island, Karachi, Sindh",4,4,267,For Sale,82500000
613,44635336,Flat,"Gulistan-e-Jauhar - Block 16, Gulistan-e-Jauhar, Karachi, Sindh",2,2,111,For Sale,8200000
163,44200001,Flat,"Clifton, Karachi, Sindh",3,3,167,For Rent,95000
124,43864952,Flat,"Clifton, Karachi, Sindh",4,4,222,For Rent,130000
154,44169981,Flat,"Cantt, Karachi, Sindh",3,3,306,For Rent,80000
336,44775238,Flat,"DHA Defence, Karachi, Sindh",3,4,243,For Rent,170000
59,42302888,Flat,"Navy Housing Scheme Karsaz, Karachi, Sindh",5,5,400,For Rent,225000
451,45139717,House,"Bahria Town - Precinct 31, Bahria Town Karachi, Karachi, Sindh",3,3,235,For Sale,16000000
304,44714159,Flat,"DHA Defence, Karachi, Sindh",2,2,100,For Rent,35000
702,45152668,Flat,"North Nazimabad - Block B, North Nazimabad, Karachi, Sindh",3,4,222,For Sale,17200000
567,43150045,Flat,"Garden East, Jamshed Town, Karachi, Sindh",4,4,222,For Sale,35000000
343,44786275,Flat,"DHA Defence, Karachi, Sindh",3,4,361,For Rent,175000
694,45152077,House,"North Nazimabad - Block L, North Nazimabad, Karachi, Sindh",7,6,200,For Sale,50000000
311,44734683,House,"DHA Defence, Karachi, Sindh",4,5,120,For Rent,160000
468,45138808,Flat,"University Road, Karachi, Sindh",3,3,87,For Sale,9000000
158,44180969,Lower Portion,"Scheme 33, Karachi, Sindh",3,4,240,For Rent,40000
51,41624136,Flat,"DHA Defence, Karachi, Sindh",2,2,117,For Rent,45000
521,45065989,House,"Bahria Town - Ali Block, Bahria Town - Precinct 12, Bahria Town Karachi, Karachi, Sindh",3,3,125,For Sale,15000000
718,45152903,House,"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",3,3,125,For Sale,15000000
712,44791389,Flat,"Creek Vista, DHA Phase 8, DHA Defence, Karachi, Sindh",4,5,417,For Sale,82500000
361,44825043,Upper Portion,"North Karachi, Karachi, Sindh",2,3,120,For Rent,32000
418,44839686,Flat,"Manzoor Colony, Karachi, Sindh",3,2,85,For Rent,25000
517,44255324,Lower Portion,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar, Karachi, Sindh",3,4,300,For Sale,27000000
219,44484297,Lower Portion,"Naya Nazimabad, Karachi, Sindh",2,2,240,For Rent,65000
308,44727072,Flat,"DHA Defence, Karachi, Sindh",3,5,243,For Rent,250000
74,42889100,Upper Portion,"Gulshan-e-Iqbal Town, Karachi, Sindh",3,3,250,For Rent,72000
282,44672931,Lower Portion,"DHA Defence, Karachi, Sindh",3,3,500,For Rent,200000
471,45065987,House,"Bahria Town - Ali Block, Bahria Town - Precinct 12, Bahria Town Karachi, Karachi, Sindh",3,3,125,For Sale,15000000
4,20483503,House,"Navy Housing Scheme Karsaz, Karachi, Sindh",5,5,350,For Rent,260000
580,36253221,Flat,"Sohni Golf View Apartments, Gulshan-e-Roomi, Faisal Cantonment, Cantt, Karachi, Sindh",3,4,194,For Sale,16000000
558,43277128,Flat,"Nishat Commercial Area, DHA Phase 6, DHA Defence, Karachi, Sindh",2,2,111,For Sale,9500000
571,44046366,Upper Portion,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",3,3,240,For Sale,26000000
637,41052222,House,"DHA Phase 7, DHA Defence, Karachi, Sindh",6,7,1000,For Sale,260000000
5,20483534,House,"Navy Housing Scheme Karsaz, Karachi, Sindh",5,5,350,For Rent,255000
141,44013400,House,"DHA Defence, Karachi, Sindh",4,5,300,For Rent,250000
529,45138816,Flat,"University Road, Karachi, Sindh",3,3,143,For Sale,14900000
135,43976037,House,"DHA Defence, Karachi, Sindh",6,6,1000,For Rent,1000000
566,45152606,Lower Portion,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",3,3,200,For Sale,23500000
378,44835410,House,"Bahria Town Karachi, Karachi, Sindh",3,3,152,For Rent,35000
647,42441928,Flat,"Gwalior Cooperative Housing Society, Scheme 33, Karachi, Sindh",3,3,100,For Sale,7800000
22,37196582,House,"Cantt, Karachi, Sindh",5,5,375,For Rent,150000
653,45152187,House,"North Nazimabad - Block J, North Nazimabad, Karachi, Sindh",5,5,200,For Sale,40000000
276,44658452,House,"DHA Defence, Karachi, Sindh",6,6,500,For Rent,400000
284,44678110,House,"DHA Defence, Karachi, Sindh",6,6,500,For Rent,425000
270,44643278,House,"DHA Defence, Karachi, Sindh",8,6,1000,For Rent,375000
691,45152082,House,"North Nazimabad - Block H, North Nazimabad, Karachi, Sindh",7,8,233,For Sale,57500000
281,44672045,House,"Gulshan-e-Iqbal Town, Karachi, Sindh",3,3,200,For Rent,190000
420,44840071,Lower Portion,"DHA Defence, Karachi, Sindh",2,2,300,For Rent,80000
220,44484315,Lower Portion,"Cantt, Karachi, Sindh",4,4,400,For Rent,100000
654,45078897,Flat,"Bahria Apartments, Bahria Town Karachi, Karachi, Sindh",2,2,106,For Sale,7500000
320,44747626,House,"Cantt, Karachi, Sindh",5,6,375,For Rent,155000
