,propertyid,location,bedroom,bathroom,area ( Sq. Yd.),price,Flat,House,Lower Portion,Room,Upper Portion,For Purchase,For Rent,For Sale,address
313,44736677,"DHA Phase 8, DHA Defence, Karachi, Sindh",3,3,500,200000,False,False,True,False,False,False,True,False,185
314,44736760,"DHA Phase 5, DHA Defence, Karachi, Sindh",4,4,560,200000,False,True,False,False,False,False,True,False,180
315,44736895,"DHA Phase 2, DHA Defence, Karachi, Sindh",1,2,250,75000,False,False,False,False,True,False,True,False,178
316,44737927,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",2,2,120,52000,False,False,True,False,False,False,True,False,246
317,44740023,"Sehar Commercial Area, DHA Phase 7, DHA Defence, Karachi, Sindh",2,2,100,42000,True,False,False,False,False,False,True,False,368
318,44740204,"Bufferzone - Sector 15-A/4, Buffer Zone, North Karachi, Karachi, Sindh",4,5,120,52000,False,False,False,False,True,False,True,False,148
319,44747020,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",5,6,375,150000,False,True,False,False,False,False,True,False,112
320,44747626,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",5,6,375,155000,False,True,False,False,False,False,True,False,112
321,44751858,"Emaar Coral Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",3,5,233,280000,True,False,False,False,False,False,True,False,203
322,44752231,"Emaar Pearl Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",2,4,180,180000,True,False,False,False,False,False,True,False,206
323,44754401,"DHA Phase 4, DHA Defence, Karachi, Sindh",3,3,1000,158000,False,False,False,False,True,False,True,False,179
324,44756612,"DHA Phase 5, DHA Defence, Karachi, Sindh",5,6,500,450000,False,True,False,False,False,False,True,False,180
325,44758866,"Khalid Bin Walid Road, Karachi, Sindh",3,3,189,75000,True,False,False,False,False,False,True,False,287
326,44762259,"Clifton - Block 4, Clifton, Karachi, Sindh",3,3,222,92000,True,False,False,False,False,False,True,False,162
327,44766734,"Gulshan-e-Iqbal - Block 13/D-1, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",2,2,111,30000,False,False,False,False,True,False,True,False,250
328,44767783,"Clifton - Block 4, Clifton, Karachi, Sindh",4,5,300,185000,True,False,False,False,False,False,True,False,162
329,44768095,"Bath Island, Karachi, Sindh",4,5,267,200000,True,False,False,False,False,False,True,False,134
330,44768906,"DHA Phase 8, DHA Defence, Karachi, Sindh",3,4,100,140000,False,True,False,False,False,False,True,False,185
331,44769427,"Saima Presidency, Malir Cantonment, Cantt, Karachi, Sindh",0,0,267,65000,False,True,False,False,False,False,True,False,365
332,44771130,"DHA Phase 8, DHA Defence, Karachi, Sindh",3,4,500,200000,False,False,True,False,False,False,True,False,185
333,44773773,"DHA Phase 6, DHA Defence, Karachi, Sindh",6,6,500,310000,False,True,False,False,False,False,True,False,181
334,44773990,"Emaar Pearl Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",3,4,272,180000,True,False,False,False,False,False,True,False,206
335,44774711,"Emaar Reef Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",3,4,243,180000,True,False,False,False,False,False,True,False,207
336,44775238,"Emaar Coral Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",3,4,243,170000,True,False,False,False,False,False,True,False,203
337,44775407,"Emaar Reef Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",4,5,292,350000,True,False,False,False,False,False,True,False,207
338,44781102,"DHA Phase 5, DHA Defence, Karachi, Sindh",4,4,500,350000,False,True,False,False,False,False,True,False,180
339,44782641,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",3,4,300,85000,True,False,False,False,False,False,True,False,112
340,44782822,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",3,4,300,90000,True,False,False,False,False,False,True,False,112
341,44782842,"Saima Elite Villas, Malir, Karachi, Sindh",3,3,120,50000,False,True,False,False,False,False,True,False,363
342,44785163,"Emaar Reef Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",2,3,182,175000,True,False,False,False,False,False,True,False,207
343,44786275,"Creek Vista, DHA Phase 8, DHA Defence, Karachi, Sindh",3,4,361,175000,True,False,False,False,False,False,True,False,174
344,44787572,"DHA Phase 8, DHA Defence, Karachi, Sindh",3,2,500,160000,False,False,True,False,False,False,True,False,185
345,44790597,"Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",2,2,222,350000,True,False,False,False,False,False,True,False,204
346,44792079,"Scheme 33, Karachi, Sindh",2,2,72,20000,True,False,False,False,False,False,True,False,366
